"ID","Date","State","Ride or Device","Device type","Manufacturer","Category","Age","Accident Description","Injury"
"918972","04-Feb-2009","FL","Avalanche","Flying carpet ride","Wisdom Industries, Ltd.","Ejection/fall from ride","17","17-yo female was ejected from the ride mid-cyle.  She fell 20 feet, hitting a fence and then the...","Multiple broken ribs and bruised lung"
"919123","07-Nov-2008","CA","Boomerang","Coaster - miscellaneous","Vekoma","Unknown (not enough info)","19","Guest injured right hand while riding.","Injured hand.  Treated at local hospital."
"919095","31-Oct-2008","CA","tea cups","Spinning cups/tubs","","Illness or neurological symptoms","51","Guest stated when she sat down in the vehicle, prior to the ride starting, she experienced a...","Nosebleed.  Treated at local hospital."
"919094","28-Oct-2008","CA","tea cups","Spinning cups/tubs","","Illness or neurological symptoms","38","Guest stated she felt lightheaded and experienced high blood pressure after riding.","Dizziness, high blood pressure.  Treated at local hospital."
"917423","23-Oct-2008","CA","carousel","Carousel","Morgan","Entrapment or pinch-point","33","Guest was standing next to her child who was riding on the whale and her left foot was injured...","injured left foot"
"919071","18-Oct-2008","CA","looping coaster","Coaster - miscellaneous","Intamin AG","Body pain (normal motion)","40","Guest complained of chest pain prior and after riding.  Park claims history of chest pain.","Chest pain"
"919075","16-Oct-2008","CA","dark ride","Track ride","Walt Disney Company","Body pain (normal motion)","77","Guest complained of chest pain prior to and after riding.  Park claims history of chest pain....","Chest pain.  Treated at local hospital."
"919125","14-Oct-2008","CA","wooden coaster","Coaster - wooden","Custom Coasters Int.","Body pain (normal motion)","21","Patron complained of low back pain.","Back pain.  Treated at local hospital."
"919087","13-Oct-2008","CA","flying elephants","Plane/jet/helicopter","","Injured in queue or exit","35","Guest stated she fainted prior to loading.  She is 23 weeks pregnant.","Fainted.  Treated at local hospital."
"919130","11-Oct-2008","CA","flume ride","Flume ride","Arrow Dynamics","Load/Unload: scrape or stumble","38","Left knee pain when exiting log.","Pain in left knee.  Treated at local hospital."
"919070","10-Oct-2008","CA","wooden coaster","Coaster - wooden","Morgan","Body pain (normal motion)","24","While riding, patron felt a pop in her hip and experienced pain.","Hip pain.  Transported to the hospital as a precaution."
"919194","04-Oct-2008","CA","4th dimension coaster","Coaster - 4th dimension","Arrow Dynamics","Body pain (normal motion)","37","Guest came to first aid complaining of stomach pain.  He stated that he had recently ridden this...","Stomach pain.  Treated at hospital."
"919055","03-Oct-2008","CA","Spider","Orbiter/octopus/remix","Eyerly Aircraft Co.","Body pain (normal motion)","41","While riding, the patron slid down his seat and hurt his back.","Back pain.  Transported to hospital by ambulance."
"919115","02-Oct-2008","CA","motion simulator","Simulator","","Body pain (normal motion)","41","Guest stated he felt back pain as he stood up from riding. History of back problems.","Back pain.  Treated at local hospital."
"919196","30-Sep-2008","CA","4th dimension coaster","Coaster - 4th dimension","Arrow Dynamics","Unknown (not enough info)","25","Park received a request to pay medical expenses for patron who claimed injuries from riding....","Treated at hospital."
"919057","26-Sep-2008","CA","bumper boats","Bumper boat","J & J Amusements, Inc","Vehicle moved during load/unload","77","Guest was exiting the boat, which had not yet been tied off.  The boat moved and the guest fell...","Patron transported to hospital"
"919074","25-Sep-2008","CA","drop tower","Drop tower","S & S Power Inc","Patron hit something within ride vehicle","42","Guest stated her left shoulder hit the restraint during ride.","Shoulder injury. Treated at local hospital."
"919127","25-Sep-2008","CA","wooden coaster","Coaster - wooden","Custom Coasters Int.","Body pain (normal motion)","23","Patron states neck pain after riding.","Neck pain."
"919096","20-Sep-2008","CA","steel sitdown coaster","Coaster - miscellaneous","","Entrapment or pinch-point","20","Guest stated that her foot got caught exiting the attraction.","Foot injury.  Treated at local hospital."
"919097","20-Sep-2008","CA","steel sitdown coaster","Coaster - miscellaneous","","Load/Unload: scrape or stumble","28","Guest stated she cut her left heel when boarding her stationary bobsled.","Foot injury.  Treated at local hospital."
"919076","19-Sep-2008","CA","bumper cars","Bumper car","Majestic Manufacturing, Inc.","Injured in queue or exit","64","Guest stated she was exiting the ride platform and tripped over hte inside edge of the the exit...","Treated at local hospital"
"919128","19-Sep-2008","CA","Top Spin","Flipping platform","Huss Rides","Patron hit something within ride vehicle","10","Patron hit teeth on restraint.","Loose tooth.  Treated by dentist."
